CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82319,ART,3786C,ART 3786C,Ceramics,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,OPEN,1,14,15,15
83049,ART,3786C,ART 3786C,Ceramics,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,15,15,15
83405,ART,3786C,ART 3786C,Ceramics,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 1504,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,15,15,15
83359,ART,3830,ART 3830,Curatorial Practices,[REDACTED],MW | 12:00 PM - 2:30 PM | 2-Founders Hall Room 1001,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,20,20,20
83514,ART,3930,ART 3930,ST: Bookbinding,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
83517,ART,3930,ART 3930,ST: Transdisc Studio Pract,[REDACTED],TR | 3:05 PM - 5:35 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,1,14,15,15
85275,ART,3930,ART 3930,ST: Zines &amp; Community,[REDACTED],F | 9:00 AM - 2:00 PM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,16,16,16
83601,ART,4421C,ART 4421C,Lithography Printmaking II,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,2,1,3,3
82481,ART,4434C,ART 4434C,Screenprint II,[REDACTED],F | 9:00 AM - 2:00 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,2,1,3,3
86274,ART,4444C,ART 4444C,Intaglio Printmaking II,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,3,2,5,5
83178,ART,4445C,ART 4445C,Relief Printmaking II,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,3,3,3
82228,ART,4710C,ART 4710C,Sculpture III,[REDACTED],TR | 12:15 PM - 2:45 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,3,5,8,8
82227,ART,4768C,ART 4768C,Advanced Ceramics,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1500,Main Campus-UNF,Standard,OPEN,1,9,10,10
83313,ART,4805,ART 4805,Painting and Drawing Research,[REDACTED],TR | 4:30 PM - 5:45 PM | 45-Fine Arts Center Room 2807,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
85279,ART,4905,ART 4905,Directed Individual Studies,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,8,8,8
85280,ART,4905,ART 4905,Directed Individual Studies,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,2,2,2
86097,ART,4905,ART 4905,Directed Individual Studies,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
86459,ART,4905,ART 4905,Directed Individual Studies,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
83605,ART,4929C,ART 4929C,Senior Project: Printmaking,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,1,1,1
84208,ART,4929C,ART 4929C,Sr. Project:Painting &amp; Drawing,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,9,9,18,10
84671,ART,4929C,ART 4929C,Senior Project: Printmaking,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,2,2,2
85277,ART,4929C,ART 4929C,Sr. Project:Painting &amp; Drawing,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 1600,Main Campus-UNF,Standard,OPEN,1,17,18,18
86380,ART,4929C,ART 4929C,Senior Project,[REDACTED],MW | 3:00 PM - 5:30 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,1,1,1
84618,ART,4940,ART 4940,Internship In Fine Arts,[REDACTED],Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,3,2,5,5
86061,ART,4940,ART 4940,Internship In Fine Arts,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
86116,ART,4940,ART 4940,Internship In Fine Arts,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
83697,ASH,3401,ASH 3401,Contemporary China,[REDACTED],MW | 1:30 PM - 2:45 PM | 51-Social Sciences Room 1209,Main Campus-UNF,Standard,OPEN,19,26,45,45
83052,ASH,3440,ASH 3440,(FC) Japanese Civilization,[REDACTED],TR | 12:15 PM - 1:30 PM | 51-Social Sciences Room 1104,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,45,45,35
84318,ASH,3620,ASH 3620,(FC) Asian Art and Culture,[REDACTED],TR | 4:30 PM - 5:45 PM | 51-Social Sciences Room 1104,Main Campus-UNF,Standard,OPEN,17,28,45,45
82240,ASL,2140,ASL 2140,American Sign Language I,[REDACTED],TR | 2:00 PM - 3:40 PM | 57-Petway Hall Room 1210,Main Campus-UNF,Standard,OPEN,3,17,20,5
82242,ASL,2140,ASL 2140,American Sign Language I,[REDACTED],TR | 10:00 AM - 11:40 AM | 57-Petway Hall Room 1210,Main Campus-UNF,Standard,OPEN,7,13,20,5
82320,ASL,2140,ASL 2140,American Sign Language I,[REDACTED],MW | 10:00 AM - 11:40 AM | 57-Petway Hall Room 1210,Main Campus-UNF,Standard,OPEN,1,19,20,5
83053,ASL,2150,ASL 2150,American Sign Language II,[REDACTED],TR | 11:50 AM - 1:30 PM | 57-Petway Hall Room 1210,Main Campus-UNF,Standard,OPEN,4,16,20,0
85976,ASL,4131,ASL 4131,American Sign Language III,[REDACTED],MW | 12:00 PM - 1:15 PM | 57-Petway Hall Room 2120,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,20,20,5
85977,ASL,4211,ASL 4211,American Sign Language IV,[REDACTED],MW | 1:30 PM - 2:45 PM | 57-Petway Hall Room 2120,Main Campus-UNF,Standard,OPEN,4,16,20,5
82003,AST,2002,AST 2002,Discovering Astronomy,[REDACTED],MW | 4:30 PM - 5:45 PM | 42-Coggin College of Business Room 1020,Main Campus-UNF,Standard,OPEN,43,177,220,100
85987,AST,2002,AST 2002,(H) Discovering Astronomy,[REDACTED],TR | 1:40 PM - 2:55 PM | 50-Science &amp; Engineering Room 1402,Main Campus-UNF,Standard,OPEN,8,12,20,20
85869,AST,3204,AST 3204,Stellar Astronomy,[REDACTED],TR | 3:50 PM - 5:30 PM | 50-Science &amp; Engineering Room 2400,Main Campus-UNF,Standard,OPEN,14,10,24,24
84240,ATR,2000C,ATR 2000C,Intro to Sports Med (KAF),[REDACTED],F | 10:00 AM - 11:40 AM | 39-J. Brooks Brown Hall Room 2045,Main Campus-UNF,Standard,OPEN,23,17,40,0
82819,ATR,5119C,ATR 5119C,Emergency Management of Athletic Trauma,[REDACTED],M | 8:00 AM - 10:50 AM | 39-J. Brooks Brown Hall Room 2045,Main Campus-UNF,Standard,OPEN,4,16,20,0
82788,ATR,5217C,ATR 5217C,Orthopedic Assessment and Diagnosis I,[REDACTED],TR | 9:25 AM - 10:40 AM | 39-J. Brooks Brown Hall Room 1001A,Main Campus-UNF,Standard,OPEN,4,16,20,0
