CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82444,ECO,4223,ECO 4223,Monetary Economics,[REDACTED],TR | 12:15 PM - 1:30 PM | 42-Coggin College of Business Room 1111,Main Campus-UNF,Standard,OPEN,32,11,43,5
84690,ECO,4905,ECO 4905,Directed Independent Study,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,2,2,0
85576,ECO,4933,ECO 4933,ST: Experimental Economics,[REDACTED],TR | 1:40 PM - 2:55 PM | 51-Social Sciences Room 1102,Main Campus-UNF,Standard,OPEN,34,10,44,5
83735,ECO,6009,ECO 6009,International Economics,[REDACTED],Online,Distance Learning,Online (DL),OPEN,29,16,45,5
83590,ECO,6060,ECO 6060,Economic Analysis,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,44,46,5
82153,ECO,6415,ECO 6415,Making Decisions with Data,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,45,50,5
84095,ECO,6415,ECO 6415,Making Decisions with Data,[REDACTED],Online,Distance Learning,Online (DL),OPEN,6,44,50,5
86394,ECO,6415,ECO 6415,Making Decisions with Data,[REDACTED],Online,Distance Learning,Online (DL),OPEN,4,46,50,5
84695,ECP,6705,ECP 6705,Economics of Business Decisions,[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,62,65,5
82558,EDA,6061,EDA 6061,Introduction to Educational Leadership,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,23,25,5
83143,EDA,6061,EDA 6061,Introduction to Educational Leadership,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,15,20,5
83284,EDA,6061,EDA 6061,Introduction to Educational Leadership,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,19,20,5
83990,EDA,6196,EDA 6196,Leadership for Learning Organizations (Operational Leadership II),[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,27,30,5
84694,EDA,6233,EDA 6233,Early Childhood Leadership Policy and Law,[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,22,25,5
82849,EDA,6242,EDA 6242,School Finance (Instructional Leadership III),[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,25,25,5
83144,EDA,6242,EDA 6242,School Finance (Instructional Leadership III),[REDACTED],Online,Distance Learning,Online (DL),OPEN,10,15,25,5
84803,EDA,6910,EDA 6910,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,3,1,4,0
84885,EDA,6910,EDA 6910,Individual Study and Research,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,4,4,0
83846,EDA,6945,EDA 6945,Practicum in Educational Leadership,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,10,15,5
82820,EDA,7193,EDA 7193,Educational Leadership for Change,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1260; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1260; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1260; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1260; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1260; Online,Hybrid - On Campus/Online,Hybrid,OPEN,12,13,25,5
83065,EDA,7400,EDA 7400,Research in Education: Quantitative Method,[REDACTED],S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; S | 10:15 AM - 1:00 PM | 57-Petway Hall Room 2500; Online,Hybrid - On Campus/Online,Hybrid,OPEN,5,20,25,5
82179,EDA,7420,EDA 7420,Foundations of Research in Education,[REDACTED],S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 1270; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 1270; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 1270; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 1270; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 1270; Online,Hybrid - On Campus/Online,Hybrid,FULL - WAITLIST AVAILABLE,0,13,13,5
83112,EDA,7420,EDA 7420,Foundations of Research in Education,[REDACTED],S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 2010; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 2010; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 2010; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 2010; S | 9:00 AM - 11:45 AM | 57-Petway Hall Room 2010; Online,Hybrid - On Campus/Online,Hybrid,FULL - WAITLIST AVAILABLE,0,13,13,5
